library_type,academy,year,season,category,subject,author,dynasty,description,file_url
课艺库,求志书院,1896,春,经学,问：汉魏六朝至唐人诗无不溯 源三百篇，其命意遣词，间有与三百篇合者，能举其辞否?,朱逢甲,清,论项羽之兴亡...,/uploads/file1.pdf
课艺库,求志书院,1896,春,经学,王巡守殷国解,郑兴森,清,秋日登高有感...,/uploads/file2.pdf
课艺库,求志书院,1896,春,经学,《书》六体分正摄说,郑兴森,清,,
课艺库,求志书院,1896,春,经学,荀子引《诗》与《毛传》义合者考,王念珣,清,,
课艺库,求志书院,1896,春,史学,左氏品藻太史公实录说,许寿衡,清,,
课艺库,求志书院,1896,春,史学,《河东集·与韩愈论史官书》书后,许寿衡,清,,
课艺库,求志书院,1896,春,史学,陶侃、温峤论,朱逢甲,清,,
课艺库,求志书院,1896,春,史学,拟陶渊明《读史述九章》序,朱逢甲,清,,
课艺库,求志书院,1896,春,史学,《春秋》以传解经史，《汉》以传释纪说,秦??,清,,
课艺库,求志书院,1896,春,史学,寇準、富弼论,秦??,清,,
课艺库,求志书院,1896,春,掌故,拟进呈职官表疏,冯一梅,清,,
课艺库,求志书院,1896,春,掌故,恭拟临雍颂并序,冯一梅,清,,
课艺库,求志书院,1896,春,掌故,用银利弊论,沈祥凤,清,,
课艺库,求志书院,1896,春,掌故,水师船政议,朱逢甲,清,,
课艺库,求志书院,1896,春,掌故,今之牧令要务策,瞿庆贤,清,,
课艺库,求志书院,1896,春,算学,算学致用论,汤金铸,清,,
课艺库,求志书院,1896,春,算学,论四元相消之理,汤金铸,清,,
课艺库,求志书院,1896,春,算学,问：古法定闰章，岁置七闰，果无余分否?度量衡咸起于黄钟，能引伸其说欤?中星定候，晷刻以分，七政周天，迟速各异，能言其故欤?天算为经术首务，盍缕述之？,汤金铸,清,,
课艺库,求志书院,1896,春,算学,问：古法定闰章，岁置七闰，果无余分否?度量衡咸起于黄钟，能引伸其说欤?中星定候，晷刻以分，七政周天，迟速各异，能言其故欤?天算为经术首务，盍缕述之？,沈善蒸,清,,
课艺库,求志书院,1896,春,算学,问：方程术，旧法但列已成图式，不详布式之法，学者易形隔阂。且遍考旧式，其下层正负与四元代数所衍得者相反，又其消得之上法下实，非两正即两负，于理殊觉未合，今欲扩方程之用，以御《九章》诸题，非神明其术不为功，盍详论之？,汤金铸,清,,
课艺库,求志书院,1896,春,舆地,设险守国论,吴曾英,清,,
课艺库,求志书院,1896,春,舆地,设险守国论,姚文栋,清,,
课艺库,求志书院,1896,春,舆地,问：汉时匈奴游牧所在，当今何地?,吴曾英,清,,
课艺库,求志书院,1896,春,舆地,论今南洋各岛国,吴曾英,清,,
课艺库,求志书院,1896,春,舆地,晋迁新田论,王履階,清,,
课艺库,求志书院,1896,春,舆地,海运河运议,王履階,清,,
课艺库,求志书院,1896,春,舆地,海运河运议,李庆恒,清,,
课艺库,求志书院,1896,春,舆地,问：秦所置县可考者有几?,郑兴森,清,,
课艺库,求志书院,1896,春,舆地,书贾谊《请改封诸王疏》后,姚有彬,清,,
课艺库,求志书院,1896,春,词章,室中十客传赞并序,朱逢甲,清,,
课艺库,求志书院,1896,春,词章,周武取士于负薪赋以题为韵,顾麟,清,,
课艺库,求志书院,1896,春,词章,周武取士于负薪赋以题为韵,朱昌鼎,清,,
课艺库,求志书院,1896,春,词章,拟白香山《赠友》诗,顾麟,清,,
课艺库,求志书院,1896,夏,经学,不易、变易、易简说,宗汝成,清,,
课艺库,求志书院,1896,夏,经学,不易、变易、易简说,姚文枏,清,,
课艺库,求志书院,1896,夏,经学,《周礼》非周公之书说,钱国祥,清,,
课艺库,求志书院,1896,夏,经学,《周礼》非周公之书说,王履階,清,,
课艺库,求志书院,1896,夏,经学,《谷梁春秋》荘七年“昔”字、定十五年“稷”字解,宗汝成,清,,
课艺库,求志书院,1896,夏,经学,《谷梁春秋》荘七年“昔”字、定十五年“稷”字解,姚文枏,清,,
课艺库,求志书院,1896,夏,经学,达巷堂人考,宗汝成,清,,
课艺库,求志书院,1896,夏,经学,达巷堂人考,姚文枏,清,,
课艺库,求志书院,1896,夏,经学,达巷堂人考,朱逢甲,清,,
课艺库,求志书院,1896,夏,经学,范式驰驱解,朱逢甲,清,,
课艺库,求志书院,1896,夏,经学,喜、憙说,宗汝成,清,,
课艺库,求志书院,1896,夏,经学,喜、憙说,钱国祥,清,,
课艺库,求志书院,1896,夏,经学,喜、憙说,李庆恒,清,,
课艺库,求志书院,1896,夏,史学,魏崔亮停年格论,朱逢甲,清,,
课艺库,求志书院,1896,夏,史学,桑维翰论,朱逢甲,清,,
课艺库,求志书院,1896,夏,史学,桑维翰论,赵引修,清,,
课艺库,求志书院,1896,夏,史学,后汉云台功臣次序考,艾承禧,清,,
课艺库,求志书院,1896,夏,史学,史家天文、五行应否有志说,许寿衡,清,,
课艺库,求志书院,1896,夏,掌故,三吴水利说,朱逢甲,清,,
课艺库,求志书院,1896,夏,掌故,西北边防论,邵如林,清,,
课艺库,求志书院,1896,夏,掌故,西南边防论,邵如林,清,,
课艺库,求志书院,1896,夏,掌故,剌麻教论,郁震培,清,,
课艺库,求志书院,1896,夏,掌故,问：社仓、常平仓、义仓之制，与今日办理积谷，孰为得失？,朱逢甲,清,,
课艺库,求志书院,1896,夏,掌故,论举孝廉方正,邵如林,清,,
课艺库,求志书院,1896,夏,掌故,广储使才议,冯一梅,清,,
课艺库,求志书院,1896,夏,算学,假如有大小不等三圆，令三圆周相切，并切一直线上。知左右两圆径，知两圆与直线相切之距，求中圆径,沈善蒸,清,,
