library_type,academy,year,season,category,subject,author,dynasty
课题库,求志书院,1876,春,经学,田获三品解,未知,清
课题库,求志书院,1876,春,经学,赤刀大训解,未知,清
课题库,求志书院,1876,春,经学,金罍兕觥解,未知,清
课题库,求志书院,1876,春,经学,五十不从力征、六十不与服戎解,未知,清
课题库,求志书院,1876,春,经学,焚咸邱解,未知,清
课题库,求志书院,1876,春,经学,王巡守殷国解,未知,清
课题库,求志书院,1876,春,经学,《连山》、《归藏》是否夏殷之《易》考,未知,清
课题库,求志书院,1876,春,经学,荀子引《诗》与《毛传》义合者考,未知,清
课题库,求志书院,1876,春,经学,《书》六体分正摄说,未知,清
课题库,求志书院,1876,春,经学,《仪礼》首冠昏与《大宗伯》五礼之次不合说,未知,清
课题库,求志书院,1876,春,经学,问：春秋二百四十年事实，有与二十四史中相似者，能详举否?,未知,清
课题库,求志书院,1876,春,经学,问：汉魏六朝至唐人诗无不溯 源三百篇，其命意遣词，间有与三百篇合者，能举其辞否?,未知,清
课题库,求志书院,1876,春,史学,圣人述三史说出《中说》,未知,清
课题库,求志书院,1876,春,史学,《春秋》以传解经、《史》《汉》以传释纪说出《史通》,未知,清
课题库,求志书院,1876,春,史学,左氏品藻太史公实录说出《法言》,未知,清
课题库,求志书院,1876,春,史学,汉儒林不同后世论,未知,清
课题库,求志书院,1876,春,史学,耶律楚材论,未知,清
课题库,求志书院,1876,春,史学,《昌黎外集·答刘秀才论史书》书后,未知,清
课题库,求志书院,1876,春,史学,《韩东集·与韩愈论史官书》书后,未知,清
课题库,求志书院,1876,春,史学,拟陶渊明《读史述九章》,未知,清
课题库,求志书院,1876,春,掌故,地丁钱粮说,未知,清
课题库,求志书院,1876,春,掌故,今之牧令要务策,未知,清
课题库,求志书院,1876,春,掌故,内外蒙古考,未知,清
课题库,求志书院,1876,春,掌故,问：自唐以来书院之制孰为得失?,未知,清
课题库,求志书院,1876,春,掌故,水师船政议,未知,清
课题库,求志书院,1876,春,掌故,用银利弊论,未知,清
课题库,求志书院,1876,春,掌故,拟进呈职官表疏,未知,清
课题库,求志书院,1876,春,掌故,恭拟临雍颂并序,未知,清
课题库,求志书院,1876,春,算学,算学致用论,未知,清
课题库,求志书院,1876,春,算学,论四元相消之理,未知,清
课题库,求志书院,1876,春,算学,问：古法定闰章，岁置七闰，果无余分否?度量衡咸起于黄钟，能引伸其说欤?中星定候，晷刻以分，七政周天，迟速各异，能言其故欤?天算为经术首务，盍缕述之？,,
课题库,求志书院,1876,春,算学,问：方程术，旧法但列已成图式，不详布式之法，学者易形隔阂。且遍考旧式，其下层正负与四元代数所衍得者相反，又其消得之上法下实，非两正即两负，于理殊觉未合，今欲扩方程之用，以御《九章》诸题，非神明其术不为功，盍详论之？,,
课题库,求志书院,1876,春,算学,问：句弦较与弦较相乘，得半段黄方幂，试以海镜原图解之；问句股和与余句余股和相乘，开平方得弦，作比例图及条段图解之,,
课题库,求志书院,1876,春,算学,问：句股和与余句余股和相乘，开平方得弦，作比例图及条段图解之；问句股形内容等径三圆，令三圆周一切股弦、一切股、一切句弦，设以此句股另容等径三圆，令三圆周一切股弦、一切弦、一切句股，问两种圆径孰大?,,
课题库,求志书院,1876,春,算学,知句股弦求圆径，其法若何?,,
课题库,求志书院,1876,春,算学,设有诸商营贩，其一每次一本倍利，其一每次一本三利，其余四利、五利，以是递增，又诸商各以一次所获之利为二次之本，二次之利为三次之本，顺是递以利为本，今但知诸商原本本末次各获之利，问各营贩次数及各获全利几何?,,
课题库,求志书院,1876,春,算学,试以代数求其至简之公式,,
课题库,求志书院,1876,春,算学,有正弦求余弦，依二项例或微分术明其级数，取象限九十度，任分为三，以三弧之正切两两相乘，以乘得之三数相并，得半径幂，试作图以明其理。,,
课题库,求志书院,1876,春,舆地,禹治水行所无事说,,
课题库,求志书院,1876,春,舆地,设险守国论,,
课题库,求志书院,1876,春,舆地,晋迁新田论,,
课题库,求志书院,1876,春,舆地,太原辨,,
课题库,求志书院,1876,春,舆地,问：秦所置县可考者有几?,,
课题库,求志书院,1876,春,舆地,问：汉时匈奴游牧所在当今何地?,,
课题库,求志书院,1876,春,舆地,论今南洋各岛国,,
课题库,求志书院,1876,春,舆地,拟补《水经·滹沱水篇》并注,,
课题库,求志书院,1876,春,舆地,拟班超《请开西域疏》,,
课题库,求志书院,1876,春,舆地,海运河运议,,
课题库,求志书院,1876,春,舆地,书贾让《治河策》后,,
课题库,求志书院,1876,春,舆地,书贾谊《请改封诸王疏》后,,
课题库,求志书院,1876,春,词章,周武取士于负薪赋以题为韵,,
课题库,求志书院,1876,春,词章,拟韩昌黎《双鸟诗》,,
课题库,求志书院,1876,春,词章,拟白香山《赠友》诗,,
课题库,求志书院,1876,春,词章,拟唐人《闻玉蕊院真人降》诗,,
课题库,求志书院,1876,春,词章,十春咏各七律一首，不限韵，或小词一阕亦可。春云、春月、春水、春山、春衫、春扇、春虫、春鸟、春树、春草,,
课题库,求志书院,1876,春,词章,拟重立吴中古贤莫格墓碑在虎丘，见《越绝书》,,
课题库,求志书院,1876,春,词章,拟上巳日祭延娟、延娱文乃周昭王姬，见《拾遗记》,,
课题库,求志书院,1876,春,词章,室中十客传赞见《悦心集》。杂录今名，言瓶花韵客、焦桐谈客、剑侠客、石隽客、砚方正客、香臭味客、铁如意禅客、竹雅客、枕率直客、茶清客,,
课题库,求志书院,1876,夏,经学,不易、变易、易简说,,
课题库,求志书院,1876,夏,经学,《周礼》非周公之书说,,
课题库,求志书院,1876,夏,经学,《谷梁春秋》荘七年“昔”字、定十五年“稷”字解,,
课题库,求志书院,1876,夏,经学,达巷堂人考,,
课题库,求志书院,1876,夏,经学,范式驰驱解,,
课题库,求志书院,1876,夏,经学,喜、憙说,,
课题库,求志书院,1876,夏,史学,魏崔亮停年格论,,
课题库,求志书院,1876,夏,史学,桑维翰论,,
课题库,求志书院,1876,夏,史学,后汉云台功臣次序考,,
