library_type,academy,year,season,category,subject,author,dynasty,description,file_url
课艺库,求志书院,1876,春,算学,"幂，试以海镜原图解之；问句股和与余句余股和相乘，开平方得弦，作 比例图及条段图解之；问句股形内容等径三圆，令三圆周一切股弦、 一切股、 一切句弦，设以此句股另容等径三圆，令三圆周一切股弦、 一 切弦、",未知,清," 一切句股，问两种圆径孰大?知句股弦求圆径，其法若何?设 有诸商营贩，其一每次一本倍利，其一每次一本三利，其余四利、五 利，以是递增，又诸商各以一次所获之利为二次之本，二次之利为三 次之本，顺是递以利为本，今但知诸商原本本末次各获之利，问各营 贩次数及各获全利几何?试以代数求其至简之公式；有正弦求余弦， 依二项例或微分术明其级数，取象限九十度，任分为三，以三弧之正 切两两相乘，以乘得之三数相并，得半径幂，试作图以明其理。",
课艺库,求志书院,1876,夏,词章,"钱克家江苏童生,李庆恒江苏镇洋,周桂江苏娄县。(1876.11.29 第1412号第二版)",苏南汇,清,"钱克家江苏童生,李庆恒江苏镇洋,周桂江苏娄县。(1876.11.29 第1412号第二版)",
课艺库,求志书院,1876,秋,经学,"登 ○史学：朱宝青宜兴、朱逢甲华亭、曹基镜上海、姚文上海、艾承 禧上海、秦诚奉贤、许寿衡山阴、王保衡南汇、赵引修萧山、姚有彬南汇举",未知,清,"登 ○史学：朱宝青宜兴、朱逢甲华亭、曹基镜上海、姚文上海、艾承 禧上海、秦诚奉贤、许寿衡山阴、王保衡南汇、赵引修萧山、姚有彬南汇举",
课艺库,求志书院,1876,秋,经学,"①史学：朱逢甲华亭、姚文栋上海、钱润道金山、梁云浙江余姚、许 寿衡浙江山阴、赵引修浙江萧山、艾承禧上海、王维孝上海、王嘉桢、郁晋 培上海、秦诚奉贤、周继达、尹熙栋娄县、周桂娄县；附取：蒋鸿远、胡公 藩",未知,清,"、蒋星拱、倪承瓒南汇。",
课艺库,求志书院,1877,春,史学,"钱润道金山,严祥彬松江；特等：艾承禧上海,蔡福钧松江,朱宝青宜  兴,曹基镜上海,郑兴森归安；一等：蒋星拱华亭,方式如南汇,王保奭南  汇,周桂娄县,吴亮采嘉兴；备取：邢信传上海,倪承瓒南汇,胡大藩华",人,清,"亭, 孙杰南汇,王应鉴南汇。",
课艺库,求志书院,1877,夏,史学,"考；唐十八学士有专传、有附见他传者详考；宋臣谥文正有因避讳而  改者考；宋制神臂弓、神劲弓、克敌弓考；元制劈正斧考；三史、十史、 十三史、十八史、十九史群考。",未知,清,"考；唐十八学士有专传、有附见他传者详考；宋臣谥文正有因避讳而  改者考；宋制神臂弓、神劲弓、克敌弓考；元制劈正斧考；三史、十史、 十三史、十八史、十九史群考。",
课艺库,求志书院,1877,夏,经学,"涛  ○史学超等：朱逢甲华亭、于尔大南汇、闵孝南汇；特等：郁钟淦 归安、章保元松江、王履阶南汇；一等：赵引修浙江、何松浙江、丁桂琪吴 江；备取：郁宸培、郑兴森、许景衡、邵锡祉、艾承禧。",未知,清,"涛  ○史学超等：朱逢甲华亭、于尔大南汇、闵孝南汇；特等：郁钟淦 归安、章保元松江、王履阶南汇；一等：赵引修浙江、何松浙江、丁桂琪吴 江；备取：郁宸培、郑兴森、许景衡、邵锡祉、艾承禧。",
课艺库,求志书院,1877,夏,经学,"举 ○ 算 学  超等：沈善蒸浙江、周光勋浙江、沈公进浙江、胡尔昌安 徽、李景兰浙江；特等：孙斌翼浙江、周汝翔安徽、沈咸喜松江、崔有洲太 平、郑兴森浙江、黄嗣洪安徽；一等：张景麟浙江、梅绳祖安徽、汪元",未知,清,"溥长 洲、丁绍文湖南、马应阶安徽、宗庆云华亭；备取：蔡云青、戴宗源、潘元 鼎、邢信传。",
课艺库,求志书院,1877,夏,舆地,"丁桂琪吴江；特等：许景衡浙江,朱逢甲华亭,钱润道金山, 黄致尧宝山；一等：周桂娄县,倪承瓒南汇,康宜鉴南汇,徐拱辰松江。",王履阶南汇,清,"丁桂琪吴江；特等：许景衡浙江,朱逢甲华亭,钱润道金山, 黄致尧宝山；一等：周桂娄县,倪承瓒南汇,康宜鉴南汇,徐拱辰松江。",
课艺库,求志书院,1877,夏,词章,"按，原本史学中“书《藏洪传》后”及舆地之学中“汉于寿春置九江 郡命名之义何在”二题中，“藏”字“汉”字当是“臧”字、“秦”字之讹，因 易之。",未知,清,"按，原本史学中“书《藏洪传》后”及舆地之学中“汉于寿春置九江 郡命名之义何在”二题中，“藏”字“汉”字当是“臧”字、“秦”字之讹，因 易之。",
