library_type,academy,year,season,category,subject,author,dynasty,description,file_url
课艺库,求志书院,1876,秋,经学,"1876年秋经学获奖课艺",①史学、朱逢甲华、姚文栋上,清,"①史学：朱逢甲华亭、姚文栋上海、钱润道金山、梁云浙江余姚、许 寿衡浙江山阴、赵引修浙江萧山、艾承禧上海、王维孝上海、王嘉桢、郁晋 培上海、秦诚奉贤、周继达、尹熙栋娄县、周桂娄县；附取：蒋鸿远、胡公 藩、蒋星拱、倪承瓒南汇。",
课艺库,求志书院,1877,春,史学,"1877年春史学获奖课艺",钱润道金、严祥彬松、艾承禧上,清,"人、钱润道金山、严祥彬松江；特等：艾承禧上海、蔡福钧松江、朱宝青宜  兴、曹基镜上海、郑兴森归安；一等：蒋星拱华亭、方式如南汇、王保奭南  汇、周桂娄县、吴亮采嘉兴；备取：邢信传上海、倪承瓒南汇、胡大藩华亭、 孙杰南汇、王应鉴南汇。",
课艺库,求志书院,1877,夏,经学,"1877年夏经学获奖课艺",涛  ○、史学超等、朱逢甲华,清,"涛  ○史学超等：朱逢甲华亭、于尔大南汇、闵孝南汇；特等：郁钟淦 归安、章保元松江、王履阶南汇；一等：赵引修浙江、何松浙江、丁桂琪吴 江；备取：郁宸培、郑兴森、许景衡、邵锡祉、艾承禧。",
课艺库,求志书院,1877,夏,经学,"1877年夏经学获奖课艺",举 ○、算 学、沈善蒸浙,清,"举 ○ 算 学  超等：沈善蒸浙江、周光勋浙江、沈公进浙江、胡尔昌安 徽、李景兰浙江；特等：孙斌翼浙江、周汝翔安徽、沈咸喜松江、崔有洲太 平、郑兴森浙江、黄嗣洪安徽；一等：张景麟浙江、梅绳祖安徽、汪元溥长 洲、丁绍文湖南、马应阶安徽、宗庆云华亭；备取：蔡云青、戴宗源、潘元 鼎、邢信传。",
课艺库,求志书院,1877,夏,舆地,"1877年夏舆地获奖课艺",王履阶南、丁桂琪吴、许景衡浙,清,"王履阶南汇、丁桂琪吴江；特等：许景衡浙江、朱逢甲华亭、钱润道金山、 黄致尧宝山；一等：周桂娄县、倪承瓒南汇、康宜鉴南汇、徐拱辰松江。",
课艺库,求志书院,1879,春,史学,"1879年春史学获奖课艺",亭县廪生、张翔苏州府、吴县童生,清,"亭县廪生、张翔苏州府吴县童生、夏寿华杭州府钱塘县附生、周桂松江府娄 县增生、艾承禧松江府上海县附生、方文杰松江府上海县附生、戴羲太仓州 宝山县附生、江标、寿大德太仓州宝山县举人、孙杰松江府南汇县附生、翁 天麒松江府附生、侯庚吉太仓州宝山县附生、黄允升太仓州宝山县附生，以 上无花红。",
课艺库,求志书院,1879,春,舆地,"1879年春舆地获奖课艺",烫  ○、录取词章、之学,清,"烫  ○录取词章之学  超等六名：徐诵芬给银五两、沈定年给银四两、 朱逢甲给银三两五钱、严良勋给银二两五钱、沈祥龙松江府娄县贡生，给银  一两五钱、汪曾怀太仓州副贡生，给银一两；特等六名：王有年镇江府月徒  县监生、沈芸松江府娄县附生、马锡蕃苏州府吴县附生、何镛、王树丰苏州 府县生，以上均给银八钱；张桂臣绍兴府山阴县贡生，给银五钱；一等十二  名：王文玉广州府番禹县监生、刘其伟太仓州宝山县廪生、王",
课艺库,求志书院,1879,夏,词章,"1879年夏词章获奖课艺",大○经学、严良勋吴县、朱逢甲华,清,"大○经学超等：严良勋吴县、朱逢甲华亭、陶承侃吴县；特等：何镛 山阴、沈定年山阴、陈绍昌香山；一等：郑兴森归安、周桂娄县、黄文玉番 禺、钱润道金山、王念珣庐陵。",
课艺库,求志书院,1879,秋,词章,"1879年秋词章获奖课艺",上 海、求 志、书 院,清,"上 海 求 志 书 院 己 卯 秋 季 课 案附录花红银数",
课艺库,求志书院,1879,秋,经学,"1879年秋经学获奖课艺",i○ 史、超 等、朱逢甲银,清,"i○ 史 学  超 等：朱逢甲银五两、沈定年银四两、葛其龙己卯顺天举 人，银三两五钱、陶承潞银二两五钱、严祥彬松江府学廪生，银一两五钱、周 桂松江娄廪生，银一两；特等：陶承侃、于、朱士廉浙江海宁举人，以上三 名银均八钱；徐廷栋苏州长洲增生、姚有彬松江南汇举人、何镛，以上三 名各银五钱；一等：张有恒松江府学附生、沈咸喜松江府学廪生、黄文玉， 以上三名各银五钱；韩柳文浙江萧山监生、钱润道、戴羲太仓宝山",
课艺库,求志书院,1880,夏,史学,"1880年夏史学获奖课艺",○ 掌、故  超、朱逢甲,清,"M    ○ 掌故  超等：朱逢甲、钱润道、李钟珏、严祥彬、陈绍昌、曹炜； 特等：丁桂琪、姚行辉、许庆尧、倪承瓒。",
课艺库,求志书院,1880,夏,史学,"1880年夏史学获奖课艺",员◎舆地、沈家桂、朱逢甲,清,"员◎舆地超等：沈家桂、朱逢甲；特等：钱润道、戴羲、严祥彬； 一 等：陆康宜。",
课艺库,求志书院,1880,秋,词章,"1880年秋词章获奖课艺",上 海、求 志、书 院,清,"上 海 求 志 书 院 庚 辰 秋 季 课 案并花红银数",
课艺库,求志书院,1880,夏,舆地,"1880年夏舆地获奖课艺",程理镛、朱逢甲、杨应环,清,"康；特等：程理镛、朱逢甲、杨应环；一等：施恩绶、戴树圭、杜史琪；不 取：徐廷栋、沈汉槎、吴荣森、钱衡拔、李钟淦、周家鼎、陆增甲、朱芬 荃、戴鳞、张国桢、许度尧、尹熙栋、陆珩、陶承侃、陶忠讷、康宜鉴、陶 承潞、浦昌楣、季鸿熙。共花红银一百二十七两三钱。(1882.2.4第 3150号第二版)",
课艺库,求志书院,1880,秋,舆地,"1880年秋舆地获奖课艺",以土六斋、共计花红、银一 百,清,"以土六斋共计花红银一 百二十三两一钱，发交上海儒学按名转 给。(1882.4.30第3229号第二版)",
课艺库,求志书院,1882,夏,算学,"1882年夏算学获奖课艺",韩恩荣、孙斌翼、陈铨衡,清,"祺、韩恩荣；特等：孙斌翼、陈铨衡、蒋学慈；一等：李云飞、程之骥、蒋 维城、倪本怀、钱来青、朱璟、邱常、梁元海。",
课艺库,求志书院,1882,夏,舆地,"1882年夏舆地获奖课艺",O  词、章 超等、钱衡拔,清,"O  词章 超等：钱衡拔、杜史琪、严祥彬；特等：戴树圭、程理镛、 张人龙；一等：杨应环、陆珩、陈曾彪、吴庆祥；不取：康宜鉴、吴荣森、 季鸿熙。(1883.2.5第3510号第三版)",
课艺库,求志书院,1882,冬,词章,"1882年冬词章获奖课艺",〇经学超、朱逢甲、王光熊,清,"〇经学超等：朱逢甲、王光熊、许克勤、王廷鼎、陶忠诰、汪开 祉；特等：叶秉钧、陈绍昌、葛士浚、陶承澍、徐森、孙传恩；一等：钱润 道、潘豫谷、陶承潞、欧阳鼎、倪承瓒、毕光祖。",
课艺库,求志书院,1883,冬,词章,"1883年冬词章获奖课艺",玉庭、张联甲、韩柳文,清,"玉庭、张联甲、韩柳文、金健行、吴荣森、屈念祖、顾行。以上共计花红 银一百三十四两七钱，发上儒学转给。(1884.7.8第4035号第二版)",
课艺库,求志书院,1884,春,词章,"1884年春词章获奖课艺",○经学超、蔡维馨、朱逢甲,清,",○经学超等：蔡维馨、朱逢甲、蔡维芳、许克勤、许文蔚、王廷 鼎；特等：陶承潞、汪开祉、陶忠讷、金昌、陶忠诰、于鬯；一等：王光熊、 徐乃柚、徐树百、倪承瓒、沈树昌、金承熙、吴寿萱、金文梁、陈震、朱映 奎、张高瀛、陶承侃。",
课艺库,求志书院,1884,夏,掌故,"1884年夏掌故获奖课艺",○算、学 超等、陈维祺,清,"R     ○算学 超等：陈维祺、沈善蒸、程之骥；特等：韩恩荣。",
课艺库,求志书院,1884,夏,掌故,"1884年夏掌故获奖课艺",词章超等、张树莫、杨引传,清,"O   词章超等：张树莫、杨引传、王念君、朱逢甲、李鼎颐、钱衡 拔；特等：金庭萼、陈曾彪、宋锡福、杜史琪、王廷鼎、蔡济勤；一等：张 尚纯、杨应环、吴大文、秦锡田、秦锡申、王士骏。(1885.4.14第4308 号第三版)",
课艺库,求志书院,1884,秋,经学,"1884年秋经学获奖课艺",北  ○、史学、曹元弼,清,"北  ○史学  超等：曹元弼、丁庆慈、朱逢甲、王廷鼎、陶承潞、萧銮； 特等：陆宝经、汪开祉、王光熊；不取：孙泰折、姚启宇、朱应福、季鸿 熙、李鼎颐、梁维谦。",
