library_type,academy,year,season,category,subject,author,dynasty
课题库,求志书院,1876,春,算学,"幂，试以海镜原图解之",未知,清
课题库,求志书院,1876,春,算学,"问句股和与余句余股和相乘，开平方得弦，作 比例图及条段图解之",未知,清
课题库,求志书院,1876,春,算学,"问句股形内容等径三圆，令三圆周一切股弦、 一切股、 一切句弦，设以此句股另容等径三圆，令三圆周一切股弦、 一 切弦、 一切句股，问两种圆径孰大?知句股弦求圆径，其法若何?设 有诸商营贩，其一每次一本倍利，其一每次一本三利，其余四利、五 利，以是递增，又诸商各以一次所获之利为二次之本，二次之利为三 次之本，顺是递以利为本，今但知诸商原本本末次各获之利，问各营 贩次数及各获全利几何?试以代数求其至简之公式",未知,清
课题库,求志书院,1876,春,算学,"有正弦求余弦， 依二项例或微分术明其级数，取象限九十度，任分为三，以三弧之正 切两两相乘，以乘得之三数相并，得半径幂，试作图以明其理。",未知,清
课题库,求志书院,1876,春,算学,"1○舆地之学十二题：禹治水行所无事说",未知,清
课题库,求志书院,1876,春,算学,"晋迁新田 论",未知,清
课题库,求志书院,1876,春,算学,"问秦所置县可考者有几?问汉时匈奴游牧所在当今何 地?论今南洋各岛国",未知,清
课题库,求志书院,1876,春,算学,"拟补《水经 · 滹沱水篇》并注",未知,清
课题库,求志书院,1876,春,算学,"拟班超《请开西 域疏》",未知,清
课题库,求志书院,1876,春,算学,"书贾让《治河策》后",未知,清
课题库,求志书院,1876,春,算学,"书贾谊《请改封诸王疏》后。",未知,清
课题库,求志书院,1876,夏,经学,"苏元和、倪承瓒江苏南汇。",未知,清
课题库,求志书院,1876,秋,经学,"人、郁晋培上海、倪承瓒南汇、朱志山阴。",未知,清
课题库,求志书院,1877,夏,史学,"唐十八学士有专传、有附见他传者详考",未知,清
课题库,求志书院,1877,夏,史学,"宋臣谥文正有因避讳而  改者考",未知,清
课题库,求志书院,1877,夏,史学,"宋制神臂弓、神劲弓、克敌弓考",未知,清
课题库,求志书院,1877,夏,史学,"元制劈正斧考",未知,清
课题库,求志书院,1877,夏,史学,"三史、十史、 十三史、十八史、十九史群考。",未知,清
课题库,求志书院,1877,夏,算学,"《广阳杂记》韪之，试广其说",未知,清
课题库,求志书院,1877,夏,算学,"书程大昌删润桑郦《济水篇》后",未知,清
课题库,求志书院,1877,夏,算学,"问大江 昔宽今狭于形势孰便",未知,清
课题库,求志书院,1877,夏,算学,"山水乡人性各异说",未知,清
课题库,求志书院,1877,夏,算学,"闽抚移驻台湾议",未知,清
课题库,求志书院,1877,夏,算学,"请治山 东诸河以工代赈议。",未知,清
课题库,求志书院,1877,夏,算学,"比例之法，边与幂不可互求，所可互求则一为超率比例，如句股 容方句股和幂与弦幂比，或弦幂与余句余股和幂比，均方句股和与余 句余股和比",未知,清
课题库,求志书院,1877,夏,算学,"一为寄母之法，如抛物线截径与正弦幂比，若另一截径 与另一正弦幂比，试详其理",未知,清
课题库,求志书院,1877,夏,算学,"方求斜以方边自乘为长方积，倍方边为长阔较，求得长为方斜 和，求得阔为方斜差，以代数或图解明之",未知,清
课题库,求志书院,1877,夏,算学,"今有数，不知几何，但云置原数为平三角之高，求得面积，倍之为 长方积，复取其长阔和为立三角垛之高，求得体积，六之为立方积，则 其长阔高三事和得二十四，试依垛积之理，返求其原数",未知,清
课题库,求志书院,1877,夏,算学,"弦和和乘弦较较，又弦和较乘弦较和，两数相减，四约之开平方， 得句，作图明之",未知,清
课题库,求志书院,1877,夏,算学,"取弦和和自乘数四之一，弦和较自乘数四之三，相并，复以弦乘 弦和较加之，开平方得句股和，以条段之理解之",未知,清
课题库,求志书院,1877,夏,算学,"平三角有底，有两腰，求面积法。以两腰幂相减自之，以底之三  乘方加之，于上副以两腰幂，相加倍之，底幂乘之，复以上减之十六， 约之开平方，得面积，试证之",未知,清
课题库,求志书院,1877,夏,算学,"高股虚句相乘，或明股小差句相乘，任一相乘积与半径自乘比， 若全径取通句比，试明比例之理",未知,清
课题库,求志书院,1877,夏,算学,"边股与底句比，若明句与重股比，又若明股弦和与半径比，及半 径与重句弦和比，又若大差股弦和与通句比，及通股与小差句弦和 比，要皆若大差诸事与小差诸事比，问此比例之公理若何?",未知,清
课题库,求志书院,1877,夏,算学,"半径为连比例一率，三十六度通弦为连比例二率，二率自乘，再 乘一率幂除之得四率，为三十六度之正割半径差，若置二率倍之，则 为三十六度之正割，以理分中末线解之",未知,清
课题库,求志书院,1877,夏,算学,"设有甲乙两数，甲幂内减乙幂，开平方，复加甲为法，乙幂为实 法，除实得数以加法，得倍甲，又甲幂加乙幂开平方，复加甲为法，乙 幂为实法，除实得数以减法亦得倍甲，以代数演之。",未知,清
课题库,求志书院,1877,夏,词章,"按，原本史学中“书《藏洪传》后”及舆地之学中“汉于寿春置九江 郡命名之义何在”二题中，“藏”字“汉”字当是“臧”字、“秦”字之讹，因 易之。",未知,清
课题库,求志书院,1877,秋,算学,"祖安徽、马应阶安徽、程世璋吴县、宋庆云华亭、方德华青浦。",未知,清
课题库,求志书院,1877,秋,算学,"平圆内作相交二线，或正交，或斜交，任交何点，令线端均抵圆 界，则分二线为四截，而此线两截相乘必与彼线两截相乘等，作比例 图以明之",未知,清
课题库,求志书院,1877,秋,算学,"今有数为甲，置甲加三，以甲乘之复加三，又以甲乘之复加一，开 立方得数，或置甲加一，以甲乘之，又以甲加一，及甲加二，递乘之，复 以甲加一 自乘之数加之开三乘方，得数，问两开得数，比甲大几何? 以廉隅之理解之",未知,清
课题库,求志书院,1877,秋,算学,"较为中率，求得末率，以中率加之，问加减所得为何数?",未知,清
课题库,求志书院,1877,秋,算学,"弦与句股和比，若容方边与垂线比，试为图解",未知,清
课题库,求志书院,1877,秋,算学,"句弦和、股弦和相乘为首率，以单一为方边，求得斜，句股相乘， 又以斜乘之为中率，得末率为弦和较之自乘数，试证之",未知,清
课题库,求志书院,1877,秋,算学,"立圆皮积上作诸距等圈，令成相连比例，知立圆径，求诸圈相距 之弧",未知,清
课题库,求志书院,1877,秋,算学,"有大小两弧之两正弦较及两余弦和，有圆径，求两弧正余弦法。 以和幂加较幂为法，和幂乘圆径幂为实，法除实复以和幂减之开平方  得两正弦和，以代数证之",未知,清
课题库,求志书院,1877,秋,算学,"有半径有大小两弧之两切较及两割和，或有两切和及两割较，求 两弧割切",未知,清
课题库,求志书院,1877,秋,算学,"椭圆内容正方形，令方面与长短径平行，法以长短径相乘为实， 以长短径名自乘相加开平方为法，法除实得方面，试言其理",未知,清
课题库,求志书院,1877,秋,算学,"半椭圆内容正方形，令方面与短径相切，法以长短径相乘为实， 长径幂加四段短径幂开平方为法，法除实得方面，试申其理。",未知,清
课题库,求志书院,1878,春,掌故,"句股容圆，自圆心至三角各作分角线，以句弦较与弦，或股弦较 与弦，或句弦较与股弦较，各为首末率，则分角线各为中率，以代数 证之",未知,清
课题库,求志书院,1878,春,掌故,"自股旁角作分角线至句，自之，股幂减之开平方得小差股，自句  旁角作分角线至股，自之，句幂减之开平方得大差句，以海镜图证之",未知,清
课题库,求志书院,1878,春,掌故,"边股、底句、明股、重句四数连乘，开三乘方得半城径，试证之",未知,清
课题库,求志书院,1878,春,掌故,"平三角以三边两两相加为和，相减为较，有两角，有两边和，或两 边较，求三边",未知,清
课题库,求志书院,1878,春,掌故,"又有一角，有两和，或两较，或一和一较，求三边，各为 术解",未知,清
课题库,求志书院,1878,春,掌故,"两边夹一角，法以半径为一率，夹角余弦倍之为二率，小边为三 率，得四率，与大边相减，复以大边乘之，用以加减小边之自乘数，开 平方得对角之边，试演细草",未知,清
课题库,求志书院,1878,春,掌故,"任取两弧弦割相比，则此弧余割与彼弧余割比，若彼弧正弦与此 弧正弦比，以代数或作图明之",未知,清
课题库,求志书院,1878,春,掌故,"有大弧正余弦，有小弧正弦，求大小相减之较弧通弦，试为术解",未知,清
课题库,求志书院,1878,春,掌故,"半径自乘为长方积，全径为长阔较，开平方得阔为二十二度半正 切，试溯其理",未知,清
课题库,求志书院,1878,春,掌故,"有同弦之两句股形，知两句，知两股和，法以两句幂相减自之和 幂除之得两股，较之自乘数加相幂四约之于上，复以两句幂相加半 之，加人上位，开平方得弦，试详其理及求两股之法",未知,清
课题库,求志书院,1878,春,掌故,"句股内容长方，令长方形之阔得长甲之乙，其甲乙为任何数，有 句股，求长阔，问以何法御之",未知,清
课题库,求志书院,1878,春,掌故,"〇舆地之学十题：历代疆域广狭论",未知,清
课题库,求志书院,1878,春,掌故,"三江诸说异同表",未知,清
课题库,求志书院,1878,春,掌故,"职方九州  岛谷宜有三种、四种、五种者，杨荆独少，何欤?古汝河迁徙沿革考",未知,清
课题库,求志书院,1878,春,掌故,"平西域善后事宜策",未知,清
课题库,求志书院,1878,春,掌故,"问近时西人有谓土路火车 可代河运者，其说何如?俄土战和议",未知,清
课题库,求志书院,1878,春,掌故,"黑海形势关系大局论。",未知,清
