library_type,academy,year,season,category,subject,author,dynasty
课题库,求志书院,四十年,夏,经学,"问：汉魏六朝至唐人诗无不溯 源三百篇，其命意遣词，间有与三百篇合者，能举其辞否?",未知,清
课题库,求志书院,四十年,春,史学,"《春秋》以传解经、《史》《汉》以传释纪说出《史通》;",未知,清
课题库,求志书院,四十年,春,史学,"汉儒林不同后世论；耶律楚材论；《昌黎外集 ·答刘秀才论史书》书后；《韩东  集 ·与韩愈论史官书》书后；拟陶渊明《读史述九章》。",未知,清
课题库,求志书院,四十年,春,史学,"○掌故之学八题：地丁钱粮说；今之牧令要务策；内外蒙古考；问 自唐以来书院之制孰为得失?水师船政议；用银利弊论；拟进呈职官 表疏；恭拟临雍颂并序。",未知,清
课题库,求志书院,四十年,春,史学,"○算学十题：算学致用论；论四元相消之理；问古法定闰章，岁置 七闰，果无余分否?度量衡咸起于黄钟，能引伸其说欤?中星定候， 晷刻以分，七政周天，迟速各异，能言其故欤?天算为经术首务，盍缕  述之；问方程术旧法，但列已成图式，不详布式之法，学者易形隔阂， 且遍考旧式，其下层正负与四元代数所衍得者相反，又其消得之上法  下实，非两正即两负，于理殊觉未合，今欲扩方程之用，以御《九章》诸 题，非神明其术不为功，盍详论之；问句弦较与弦较相乘，得半段黄方",未知,清
课题库,求志书院,四十年,春,史学,"幂，试以海镜原图解之；问句股和与余句余股和相乘，开平方得弦，作 比例图及条段图解之；问句股形内容等径三圆，令三圆周一切股弦、 一切股、 一切句弦，设以此句股另容等径三圆，令三圆周一切股弦、 一 切弦、 一切句股，问两种圆径孰大?知句股弦求圆径，其法若何?设 有诸商营贩，其一每次一本倍利，其一每次一本三利，其余四利、五 利，以是递增，又诸商各以一次所获之利为二次之本，二次之利为三 次之本，顺是递以利为本，今但知诸商原本本末次各获之利，问各营 贩次数及各获全利几何?试以代数求其至简之公式；有正弦求余弦， 依二项例或微分术明其级数，取象限九十度，任分为三，以三弧之正 切两两相乘，以乘得之三数相并，得半径幂，试作图以明其理。",未知,清
课题库,求志书院,四十年,春,史学,"○舆地之学十二题：禹治水行所无事说；设险守国论；晋迁新田 论；太原辨；问秦所置县可考者有几?问汉时匈奴游牧所在当今何 地?论今南洋各岛国；拟补《水经 · 滹沱水篇》并注；拟班超《请开西 域疏》;海运河运议；书贾让《治河策》后；书贾谊《请改封诸王疏》后。",未知,清
课题库,求志书院,四十年,春,史学,"○词章之学八题：周武取士于负薪赋；以题为韵。拟韩昌黎《双鸟 诗》;拟白香山《赠友》诗；拟唐人《闻玉蕊院真人降》诗；十春咏各七律 一首，不限韵，或小词一阕亦可。春云、春月、春水、春山、春衫、春扇、春虫、春 鸟、春树、春草；拟重立吴中古贤莫格墓碑在虎丘，见《越绝书》;拟上巳日 祭延娟、延娱文乃周昭王姬，见《拾遗记》;室中十客传赞见《悦心集》。杂录 今名，言瓶花韵客、焦桐谈客、剑侠客、石隽客、砚方正客、香臭味客、铁如意禅 客、竹雅客、枕率直客、茶清客。",未知,清
课题库,求志书院,四十年,春,史学,"此课事属创始，诚恐远近未及周知，佳卷展至四月杪截齐，以期 广领教益。(1876.3. 15第1190号第六版)",未知,清
课题库,求志书院,四十年,夏,史学,"上海求志书院冯观察丁丑夏季课题",未知,清
课题库,求志书院,四十年,夏,史学,"○经学十二题：八卦逸象九家与虞注异同考；《金滕》今古文异说 考；五际说；地中畿方千里说；漆林重征说；当阿当屐说；谭导说；戴圣 非删戴德书辩；《王制》非汉博士作辩；仲尼使举是礼解；不衰城解；尸 女解 。",未知,清
课题库,求志书院,四十年,夏,史学,"○史学十题：汉制刺史州牧得失论；宇文周复古六官之制论；司 马温公请设十科举士论；宋明设立武学论；诸葛武侯《后出师表》真伪",未知,清
课题库,求志书院,四十年,夏,史学,"考；唐十八学士有专传、有附见他传者详考；宋臣谥文正有因避讳而  改者考；宋制神臂弓、神劲弓、克敌弓考；元制劈正斧考；三史、十史、 十三史、十八史、十九史群考。",未知,清
课题库,求志书院,四十年,夏,史学,"○掌故之学八题：蒙养斋考；冰嬉考；续本论；树人论；捕蝗说；伐 蛟说；南苑赋；昆明湖颂。",未知,清
课题库,求志书院,四十年,夏,史学,"◎算学十题：算学中极浅之题，亦具深意，如句股弦，三事有二求",未知,清
