library_type,academy,year,season,category,subject,author,dynasty
课题库,求志书院,1876,春,经学,"田获三品解",未知,清
课题库,求志书院,1876,春,经学,"赤刀大训解",未知,清
课题库,求志书院,1876,春,经学,"金罍兕觥解",未知,清
课题库,求志书院,1876,春,经学,"五十不从力征、六十不与服戎解",未知,清
课题库,求志书院,1876,春,经学,"王巡守殷国解",未知,清
课题库,求志书院,1876,春,经学,"《连山》、《归藏》是否夏殷之《易》考",未知,清
课题库,求志书院,1876,春,经学,"荀子引《诗》与《毛传》义合者考",未知,清
课题库,求志书院,1876,春,经学,"《书》六体分正摄说",未知,清
课题库,求志书院,1876,春,经学,"《仪礼》首冠昏与《大宗伯》五礼之次不合说",未知,清
课题库,求志书院,1876,春,史学,"圣人述三史说出《中说》",未知,清
课题库,求志书院,1876,春,史学,"《春秋》以传解经、《史》《汉》以传释纪说出《史通》",未知,清
课题库,求志书院,1876,春,史学,"左氏品藻太史公实录说出《法言》",未知,清
课题库,求志书院,1876,春,史学,"汉儒林不同后世论",未知,清
课题库,求志书院,1876,春,史学,"耶律楚材论",未知,清
课题库,求志书院,1876,春,史学,"《昌黎外集 ·答刘秀才论史书》书后",未知,清
课题库,求志书院,1876,春,史学,"《韩东  集 ·与韩愈论史官书》书后",未知,清
课题库,求志书院,1876,春,史学,"拟陶渊明《读史述九章》。",未知,清
课题库,求志书院,1876,夏,史学,"唐十八学士有专传、有附见他传者详考",未知,清
课题库,求志书院,1876,夏,史学,"宋臣谥文正有因避讳而  改者考",未知,清
课题库,求志书院,1876,夏,史学,"宋制神臂弓、神劲弓、克敌弓考",未知,清
课题库,求志书院,1876,夏,史学,"元制劈正斧考",未知,清
课题库,求志书院,1876,夏,史学,"三史、十史、 十三史、十八史、十九史群考。",未知,清
课题库,求志书院,1876,夏,算学,"舆地之学十题：唐殷周都三河论",未知,清
课题库,求志书院,1876,夏,算学,"《周礼》六官之属职在上地者 有几?试析其同异",未知,清
课题库,求志书院,1876,夏,算学,"职方泽薮川浸辨",未知,清
课题库,求志书院,1876,夏,算学,"《汉书 · 艺文志》分兵家为四 种，推其例于舆地家，当有几种?《水经注》详北略南，世以为憾，独《广阳杂记》韪之，试广其说",未知,清
课题库,求志书院,1876,夏,算学,"书程大昌删润桑郦《济水篇》后",未知,清
课题库,求志书院,1876,夏,算学,"问大江 昔宽今狭于形势孰便",未知,清
课题库,求志书院,1876,夏,算学,"山水乡人性各异说",未知,清
课题库,求志书院,1876,夏,算学,"闽抚移驻台湾议",未知,清
课题库,求志书院,1876,夏,算学,"请治山 东诸河以工代赈议。",未知,清
课题库,求志书院,1876,夏,算学,"比例之法，边与幂不可互求，所可互求则一为超率比例，如句股 容方句股和幂与弦幂比，或弦幂与余句余股和幂比，均方句股和与余 句余股和比",未知,清
课题库,求志书院,1876,夏,算学,"一为寄母之法，如抛物线截径与正弦幂比，若另一截径 与另一正弦幂比，试详其理",未知,清
课题库,求志书院,1876,夏,算学,"方求斜以方边自乘为长方积，倍方边为长阔较，求得长为方斜 和，求得阔为方斜差，以代数或图解明之",未知,清
课题库,求志书院,1876,夏,算学,"今有数，不知几何，但云置原数为平三角之高，求得面积，倍之为 长方积，复取其长阔和为立三角垛之高，求得体积，六之为立方积，则 其长阔高三事和得二十四，试依垛积之理，返求其原数",未知,清
课题库,求志书院,1876,夏,算学,"弦和和乘弦较较，又弦和较乘弦较和，两数相减，四约之开平方， 得句，作图明之",未知,清
课题库,求志书院,1876,夏,算学,"取弦和和自乘数四之一，弦和较自乘数四之三，相并，复以弦乘 弦和较加之，开平方得句股和，以条段之理解之",未知,清
课题库,求志书院,1876,夏,算学,"平三角有底，有两腰，求面积法。以两腰幂相减自之，以底之三  乘方加之，于上副以两腰幂，相加倍之，底幂乘之，复以上减之十六， 约之开平方，得面积，试证之",未知,清
课题库,求志书院,1876,夏,算学,"高股虚句相乘，或明股小差句相乘，任一相乘积与半径自乘比， 若全径取通句比，试明比例之理",未知,清
课题库,求志书院,1876,夏,算学,"半径为连比例一率，三十六度通弦为连比例二率，二率自乘，再 乘一率幂除之得四率，为三十六度之正割半径差，若置二率倍之，则 为三十六度之正割，以理分中末线解之",未知,清
课题库,求志书院,1876,夏,算学,"设有甲乙两数，甲幂内减乙幂，开平方，复加甲为法，乙幂为实 法，除实得数以加法，得倍甲，又甲幂加乙幂开平方，复加甲为法，乙 幂为实法，除实得数以减法亦得倍甲，以代数演之。",未知,清
课题库,求志书院,1876,夏,算学,"祖安徽、马应阶安徽、程世璋吴县、宋庆云华亭、方德华青浦。",未知,清
课题库,求志书院,1876,夏,算学,"平圆内作相交二线，或正交，或斜交，任交何点，令线端均抵圆 界，则分二线为四截，而此线两截相乘必与彼线两截相乘等，作比例 图以明之",未知,清
课题库,求志书院,1876,夏,算学,"今有数为甲，置甲加三，以甲乘之复加三，又以甲乘之复加一，开 立方得数，或置甲加一，以甲乘之，又以甲加一，及甲加二，递乘之，复 以甲加一 自乘之数加之开三乘方，得数，问两开得数，比甲大几何? 以廉隅之理解之",未知,清
课题库,求志书院,1876,夏,算学,"弦与句股和比，若容方边与垂线比，试为图解",未知,清
课题库,求志书院,1876,夏,算学,"句弦和、股弦和相乘为首率，以单一为方边，求得斜，句股相乘， 又以斜乘之为中率，得末率为弦和较之自乘数，试证之",未知,清
课题库,求志书院,1876,夏,算学,"立圆皮积上作诸距等圈，令成相连比例，知立圆径，求诸圈相距 之弧",未知,清
课题库,求志书院,1876,夏,算学,"有大小两弧之两正弦较及两余弦和，有圆径，求两弧正余弦法。 以和幂加较幂为法，和幂乘圆径幂为实，法除实复以和幂减之开平方  得两正弦和，以代数证之",未知,清
课题库,求志书院,1876,夏,算学,"有半径有大小两弧之两切较及两割和，或有两切和及两割较，求 两弧割切",未知,清
课题库,求志书院,1876,夏,算学,"椭圆内容正方形，令方面与长短径平行，法以长短径相乘为实， 以长短径名自乘相加开平方为法，法除实得方面，试言其理",未知,清
